Cycle   Residual norm
   1    9.221736e+00
   2    8.596316e+00
   3    8.006746e+00
   4    7.455926e+00
   5    6.942492e+00
   6    6.464212e+00
   7    6.018764e+00
   8    5.603918e+00
   9    5.217580e+00
  10    4.857795e+00
  11    4.522745e+00
  12    4.210733e+00
  13    3.920183e+00
  14    3.649624e+00
  15    3.397687e+00
  16    3.163097e+00
  17    2.944664e+00
  18    2.741281e+00
  19    2.551916e+00
  20    2.375607e+00
  21    2.211456e+00
  22    2.058629e+00
  23    1.916348e+00
  24    1.783887e+00
  25    1.660570e+00
  26    1.545768e+00
  27    1.438894e+00
  28    1.339402e+00
  29    1.246784e+00
  30    1.160565e+00
  31    1.080305e+00
  32    1.005591e+00
  33    9.360414e-01
  34    8.712995e-01
  35    8.110335e-01
  36    7.549341e-01
  37    7.027136e-01
  38    6.541041e-01
  39    6.088561e-01
  40    5.667372e-01
  41    5.275312e-01
  42    4.910369e-01
  43    4.570666e-01
  44    4.254460e-01
  45    3.960127e-01
  46    3.686152e-01
  47    3.431130e-01
  48    3.193749e-01
  49    2.972789e-01
  50    2.767115e-01
  51    2.575669e-01
  52    2.397467e-01
  53    2.231594e-01
  54    2.077197e-01
  55    1.933481e-01
  56    1.799707e-01
  57    1.675189e-01
  58    1.559286e-01
  59    1.451401e-01
  60    1.350981e-01
  61    1.257508e-01
  62    1.170503e-01
  63    1.089517e-01
  64    1.014134e-01
  65    9.439671e-02
  66    8.786546e-02
  67    8.178611e-02
  68    7.612737e-02
  69    7.086015e-02
  70    6.595737e-02
  71    6.139380e-02
  72    5.714598e-02
  73    5.319207e-02
  74    4.951172e-02
  75    4.608601e-02
  76    4.289733e-02
  77    3.992927e-02
  78    3.716656e-02
  79    3.459501e-02
  80    3.220139e-02
  81    2.997337e-02
  82    2.789952e-02
  83    2.596915e-02
  84    2.417234e-02
  85    2.249986e-02
  86    2.094309e-02
  87    1.949404e-02
  88    1.814525e-02
  89    1.688977e-02
  90    1.572117e-02
  91    1.463342e-02
  92    1.362093e-02
  93    1.267850e-02
  94    1.180127e-02
  95    1.098474e-02
  96    1.022471e-02
  97    9.517259e-03
  98    8.858758e-03
  99    8.245820e-03
 100    7.675291e-03
Total time: 0.020262 s
Coarse solves: 100
