Cycle   Residual norm
   1    9.697726e+00
   2    9.526125e+00
   3    9.356666e+00
   4    9.189995e+00
   5    9.026230e+00
   6    8.865364e+00
   7    8.707360e+00
   8    8.552170e+00
   9    8.399745e+00
  10    8.250035e+00
  11    8.102993e+00
  12    7.958570e+00
  13    7.816719e+00
  14    7.677396e+00
  15    7.540554e+00
  16    7.406149e+00
  17    7.274138e+00
  18    7.144478e+00
  19    7.017127e+00
  20    6.892045e+00
  21    6.769190e+00
  22    6.648524e+00
  23    6.530006e+00
  24    6.413599e+00
  25    6.299265e+00
  26    6.186968e+00
  27    6.076670e+00
  28    5.968337e+00
  29    5.861933e+00
  30    5.757425e+00
  31    5.654778e+00
  32    5.553959e+00
  33    5.454935e+00
  34    5.357676e+00
  35    5.262148e+00
  36    5.168323e+00
  37    5.076168e+00
  38    4.985655e+00
  39    4.896754e+00
  40    4.809437e+00
  41    4.723675e+00
  42    4.639441e+00
  43    4.556708e+00
  44    4.475449e+00
  45    4.395637e+00
  46    4.317247e+00
  47    4.240254e+00
  48    4.164632e+00
  49    4.090358e+00
  50    4.017407e+00
  51    3.945756e+00
  52    3.875382e+00
  53    3.806262e+00
  54    3.738373e+00
  55    3.671695e+00
  56    3.606204e+00
  57    3.541881e+00
  58    3.478704e+00
  59    3.416653e+00
  60    3.355708e+00
  61    3.295849e+00
  62    3.237057e+00
  63    3.179313e+00
  64    3.122598e+00
  65    3.066894e+00
  66    3.012183e+00
  67    2.958448e+00
  68    2.905670e+00
  69    2.853833e+00
  70    2.802921e+00
  71    2.752916e+00
  72    2.703802e+00
  73    2.655564e+00
  74    2.608187e+00
  75    2.561654e+00
  76    2.515950e+00
  77    2.471062e+00
  78    2.426974e+00
  79    2.383672e+00
  80    2.341142e+00
  81    2.299371e+00
  82    2.258344e+00
  83    2.218050e+00
  84    2.178473e+00
  85    2.139603e+00
  86    2.101426e+00
  87    2.063929e+00
  88    2.027102e+00
  89    1.990931e+00
  90    1.955405e+00
  91    1.920513e+00
  92    1.886244e+00
  93    1.852585e+00
  94    1.819527e+00
  95    1.787059e+00
  96    1.755170e+00
  97    1.723849e+00
  98    1.693088e+00
  99    1.662875e+00
 100    1.633201e+00
Total time: 0.100921 s
Coarse solves: 100
