Cycle   Residual norm
   1    7.771924e+00
   2    4.990601e+00
   3    2.561540e+00
   4    1.206162e+00
   5    5.453151e-01
   6    2.413700e-01
   7    1.056162e-01
   8    4.592442e-02
   9    1.990054e-02
  10    8.607697e-03
  11    3.719607e-03
  12    1.606610e-03
  13    6.938165e-04
  14    2.996144e-04
  15    1.293887e-04
  16    5.588052e-05
  17    2.413573e-05
  18    1.042549e-05
  19    4.503677e-06
  20    1.945670e-06
  21    8.406184e-07
  22    3.632062e-07
  23    1.569383e-07
  24    6.781463e-08
Total time: 0.004576 s
Coarse solves: 24
